date,column,vintage,original,mapped_provider,difference
2015-07-31,SMB,CIZ_2026,-0.3241701244813278,-0.3241701244813278,0.0
2015-08-31,SMB,CIZ_2026,-0.090767634854772,-0.0886929460580914,0.0020746887966806016
2015-09-30,SMB,CIZ_2026,-0.2437759336099586,-0.24429460580912865,-0.0005186721991700394
2015-10-31,SMB,CIZ_2026,-0.2053941908713693,-0.2069502074688797,-0.0015560165975104234
2015-11-30,SMB,CIZ_2026,0.0788381742738588,0.07780082987551849,-0.0010373443983403008
2015-12-31,SMB,CIZ_2026,-0.2551867219917013,-0.2531120331950208,0.0020746887966804906
2016-01-31,SMB,CIZ_2026,-0.2852697095435685,-0.2842323651452282,0.0010373443983403008
2016-02-29,SMB,CIZ_2026,-0.0700207468879668,-0.07002074688796692,-1.1102230246251565e-16
2016-03-31,SMB,CIZ_2026,-0.0653526970954357,-0.06898340248962667,-0.0036307053941909695
2016-04-30,SMB,CIZ_2026,-0.0684647302904564,-0.06794605809128643,0.00051867219916997
2016-05-31,SMB,CIZ_2026,-0.1167012448132781,-0.11721991701244823,-0.0005186721991701365
2016-06-30,SMB,CIZ_2026,-0.0762448132780084,-0.07676348547717854,-0.0005186721991701365
2016-07-31,SMB,CIZ_2026,0.021265560165975,0.020228215767634714,-0.001037344398340287
2016-08-31,SMB,CIZ_2026,-0.0482365145228217,-0.04616182572614121,0.0020746887966804836
2016-09-30,SMB,CIZ_2026,0.0020746887966804,0.00051867219916997,-0.00155601659751043
2016-10-31,SMB,CIZ_2026,-0.3360995850622408,-0.3366182572614108,-0.0005186721991700116
2016-11-30,SMB,CIZ_2026,0.1882780082987551,0.18257261410788356,-0.005705394190871543
2016-12-31,SMB,CIZ_2026,-0.1026970954356846,-0.10114107883817439,0.0015560165975102153
2017-01-31,SMB,CIZ_2026,-0.1696058091286308,-0.1680497925311204,0.0015560165975103957
2017-02-28,SMB,CIZ_2026,-0.2142116182572615,-0.21836099585062246,-0.004149377593360953
2017-03-31,SMB,CIZ_2026,-0.0487551867219917,-0.04927385892116196,-0.0005186721991702614
2017-04-30,SMB,CIZ_2026,-0.0700207468879668,-0.07261410788381754,-0.002593360995850738
2017-05-31,SMB,CIZ_2026,-0.241182572614108,-0.23807053941908718,0.003112033195020819
2017-06-30,SMB,CIZ_2026,0.008817427385892,0.007261410788381592,-0.0015560165975104078
2017-07-31,SMB,CIZ_2026,-0.1862033195020748,-0.183091286307054,0.0031120331950207913
2017-08-31,SMB,CIZ_2026,-0.1945020746887967,-0.19450207468879674,-2.7755575615628914e-17
2017-09-30,SMB,CIZ_2026,0.1239626556016595,0.1229253112033193,-0.0010373443983402036
2017-10-31,SMB,CIZ_2026,-0.20850622406639,-0.20798755186721996,0.0005186721991700394
2017-11-30,SMB,CIZ_2026,-0.1364107883817428,-0.13900414937759345,-0.002593360995850641
2017-12-31,SMB,CIZ_2026,-0.1763485477178424,-0.1763485477178424,0.0
1950-01-31,HML,FIZ_2024,-0.0816901408450706,-0.08169014084507065,-4.163336342344337e-17
1950-02-28,HML,FIZ_2024,-0.1549295774647887,-0.15492957746478891,-2.220446049250313e-16
1950-03-31,HML,FIZ_2024,-0.3175050301810866,-0.31750503018108667,-5.551115123125783e-17
1950-04-30,HML,FIZ_2024,0.0132796780684103,0.013279678068410211,-8.847089727481716e-17
1950-05-31,HML,FIZ_2024,-0.0543259557344064,-0.05432595573440666,-2.636779683484747e-16
1950-06-30,HML,FIZ_2024,-0.1476861167002012,-0.1476861167002014,-1.942890293094024e-16
1950-07-31,HML,FIZ_2024,1.0,0.9999999999999994,-5.551115123125783e-16
1950-08-31,HML,FIZ_2024,-0.212072434607646,-0.21207243460764605,-5.551115123125783e-17
1950-09-30,HML,FIZ_2024,-0.1774647887323944,-0.17746478873239457,-1.6653345369377348e-16
1950-10-31,HML,FIZ_2024,0.0132796780684103,0.013279678068410211,-8.847089727481716e-17
1950-11-30,HML,FIZ_2024,0.1766599597585512,0.176659959758551,-1.942890293094024e-16
1950-12-31,HML,FIZ_2024,0.5010060362173037,0.5010060362173034,-2.220446049250313e-16
1951-01-31,HML,FIZ_2024,0.201609657947686,0.2016096579476858,-2.220446049250313e-16
