date,column,kind,value,robust_z,action
2011-10-31,STR,change,1.4124513618677044,8.340191919146,retained; statistical flag is not proof of error
2020-04-30,STR,change,1.7769130998702969,10.469763867605804,retained; statistical flag is not proof of error
2020-05-31,STR,change,-1.2360570687418928,7.135202809519266,retained; statistical flag is not proof of error
1950-01-31,RV_q,level,0.0,9.37859841756733,retained; statistical flag is not proof of error
1950-02-28,RV_q,level,0.0,9.37859841756733,retained; statistical flag is not proof of error
1950-03-31,RV_q,level,0.0,9.37859841756733,retained; statistical flag is not proof of error
1950-04-30,RV_q,change,-0.8196585936046574,27.610182729418675,retained; statistical flag is not proof of error
2020-04-30,RV_q,change,0.18382997991612493,6.276512224955138,retained; statistical flag is not proof of error
1950-01-31,RV_a,level,0.0,10.31976039135135,retained; statistical flag is not proof of error
1950-02-28,RV_a,level,0.0,10.31976039135135,retained; statistical flag is not proof of error
1950-03-31,RV_a,level,0.0,10.31976039135135,retained; statistical flag is not proof of error
1950-04-30,RV_a,level,0.0,10.31976039135135,retained; statistical flag is not proof of error
1950-05-31,RV_a,level,0.0,10.31976039135135,retained; statistical flag is not proof of error
1950-06-30,RV_a,level,0.0,10.31976039135135,retained; statistical flag is not proof of error
1950-07-31,RV_a,level,0.0,10.31976039135135,retained; statistical flag is not proof of error
1950-08-31,RV_a,level,0.0,10.31976039135135,retained; statistical flag is not proof of error
1950-09-30,RV_a,level,0.0,10.31976039135135,retained; statistical flag is not proof of error
1950-10-31,RV_a,level,0.0,10.31976039135135,retained; statistical flag is not proof of error
1950-11-30,RV_a,level,0.0,10.31976039135135,retained; statistical flag is not proof of error
1950-12-31,RV_a,level,0.0,10.31976039135135,retained; statistical flag is not proof of error
1951-01-31,RV_a,change,-0.7786808763080648,84.62170006651058,retained; statistical flag is not proof of error
1950-02-28,RV1,change,-0.6333126217986882,6.54296233053237,retained; statistical flag is not proof of error
1950-03-31,RV2,change,-0.6333126217986882,6.568887193736497,retained; statistical flag is not proof of error
