period,window,model,complete,successful_forecasts,expected_forecasts,mse_seed_std,mse_log_rv,mae_log_rv,qlike_variance,directional_accuracy,rmse_log_rv
last12,571,LSTMX,True,60,60,0.0063275619349896835,0.09141656871886703,0.2651417704869349,0.19743967934111914,0.7166666666666667,0.3023517301403566
last12,571,QR1,True,60,60,0.00227139167996326,0.09423858959193529,0.2787236677886723,0.20654931941801163,0.75,0.3069830444697806
last12,571,AR1,True,12,12,0.0,0.09765668820423373,0.270240055991775,0.19561720100048077,0.75,0.31250070112598743
last12,571,CRLX,True,60,60,0.005337948785305746,0.10046189199991397,0.2881622335582803,0.2127578859862948,0.6166666666666667,0.3169572400181355
last12,571,Persistence,True,12,12,0.0,0.1358592730807314,0.3249785707227574,0.31362176784495416,0.16666666666666666,0.3685909291894354
post2017,120,AR1,True,104,104,0.0,0.18235986991894879,0.32628208420732874,0.726629663410203,0.7019230769230769,0.42703614591618444
post2017,120,QR1,True,520,520,0.0025792621355674966,0.18587033778265818,0.3305304575873273,0.6671720290766346,0.6538461538461539,0.4311268233161307
post2017,120,HARX,True,104,104,0.0,0.18769118272502455,0.3288739770204238,0.6718185758044641,0.6826923076923077,0.4332334044427144
post2017,120,HAR,True,104,104,0.0,0.1924658450588799,0.3333398785078015,0.8212864056800715,0.6538461538461539,0.43870929447514545
post2017,120,CRL,True,520,520,0.00010809592408412212,0.19319561750938538,0.33396191584531504,0.798779780802993,0.6538461538461539,0.4395402342327553
post2017,120,AR3,True,104,104,0.0,0.1932550110177456,0.33393874669144263,0.8005305841420481,0.6538461538461539,0.4396077922623137
post2017,120,ARMAX,True,104,104,0.0,0.19652160549098122,0.34710883584829616,0.6548098047415493,0.6538461538461539,0.44330757436680596
post2017,120,CRLX,True,520,520,0.006782954851239365,0.20291470691123006,0.34829617239425664,0.7573323956563541,0.6346153846153846,0.45046054978347444
post2017,120,QR2,True,520,520,0.004268268741556567,0.2164992993186496,0.35565170732293894,0.766598711317336,0.6461538461538462,0.46529485202251014
post2017,120,Persistence,True,104,104,0.0,0.22867414802551003,0.3783012549899319,0.7189457069934044,0.0673076923076923,0.4781988582436286
post2017,120,LSTMX,True,520,520,0.0017751984985756694,0.23027906609164742,0.3562905012679543,1.1746805469506865,0.676923076923077,0.47987401064409335
post2017,120,LSTM,True,520,520,0.0026658959384670377,0.24165646079816575,0.36698726934414544,1.2130155906751305,0.6596153846153846,0.49158565967506185
post2017,571,CRLX,True,520,520,0.0015230046303398013,0.1709848425427067,0.31983130891264866,0.6094083877662858,0.6480769230769231,0.41350313486442486
post2017,571,QR1,True,520,520,0.000509450530954363,0.17139225659238153,0.31678072381482314,0.5952982556831352,0.6576923076923077,0.41399547895162037
post2017,571,HARX,True,104,104,0.0,0.1737478506115961,0.31640662216048376,0.6513969597127709,0.6442307692307693,0.4168307217703562
post2017,571,AR1,True,104,104,0.0,0.17571542875012086,0.3251329298562563,0.5916460360665685,0.6826923076923077,0.41918424201074267
post2017,571,QR2,True,520,520,0.002052537494406414,0.17601981157055294,0.3207366409235278,0.6322274092753263,0.6596153846153846,0.4195471505928183
post2017,571,ARMAX,False,102,104,0.0,0.17736377820415467,0.32517371247029114,0.6213842398404471,0.6078431372549019,0.421145792100734
post2017,571,LSTMX,True,520,520,0.0051051626564573935,0.17819528408067056,0.3209376747943326,0.672356726684005,0.6634615384615384,0.4221318325839341
post2017,571,HAR,True,104,104,0.0,0.18712765213431817,0.3294586791292971,0.726564804847441,0.6442307692307693,0.4325825379442843
post2017,571,AR3,True,104,104,0.0,0.18781871693492208,0.33007361398726154,0.7053608717987786,0.6634615384615384,0.43338056824795695
post2017,571,CRL,True,520,520,7.641258983947076e-05,0.18785381595376266,0.3299066692577327,0.7064446492340973,0.6730769230769231,0.43342106081011184
post2017,571,LSTM,True,520,520,0.00346220489730483,0.20259070243452829,0.3425827005463396,0.8218229308933165,0.6346153846153846,0.45010076920010733
post2017,571,Persistence,True,104,104,0.0,0.22867414802551003,0.3783012549899319,0.7189457069934044,0.0673076923076923,0.4781988582436286
