period,window,model,seed,mse_log_rv,mae_log_rv,qlike_variance,directional_accuracy,rmse_log_rv
last12,571,CRL,1,0.0874515133686131,0.2690199375164201,0.18400236005960954,0.6666666666666666,0.295722020432387
last12,571,CRL,2,0.08754856236292567,0.2690561648688395,0.1840994786868835,0.6666666666666666,0.29588606314411914
last12,571,CRL,3,0.08740310793987048,0.2687867536035032,0.18395663868322884,0.6666666666666666,0.2956401663168766
last12,571,CRL,4,0.08762745890764846,0.26919773772229455,0.18425153601929875,0.6666666666666666,0.29601935563008114
last12,571,CRLX,0,0.10096324123221297,0.27931113554970016,0.21529055095777835,0.5833333333333334,0.3177471341054282
last12,571,CRLX,1,0.10012625734816094,0.2885007452315343,0.2128911098135908,0.5833333333333334,0.31642733344033497
last12,571,CRLX,2,0.10642478353301721,0.30262388271866364,0.22705770123094657,0.5833333333333334,0.32622811579172206
last12,571,CRLX,3,0.09077306999388,0.27597224660724,0.19168281341142135,0.75,0.3012856949705379
last12,571,CRLX,4,0.10402210789229872,0.29440315768426334,0.21686725451773678,0.5833333333333334,0.32252458494244857
last12,571,QR1,0,0.0962490055582827,0.28162476409727216,0.21012495125046401,0.75,0.31024023845768733
last12,571,QR1,1,0.09639695205634434,0.28164345870359153,0.21449288913640271,0.75,0.3104785855036452
last12,571,QR1,2,0.09014940397453554,0.27244543572085694,0.1922696089157326,0.75,0.30024890336941373
last12,571,QR1,3,0.09462960254680737,0.2792124263179217,0.2096629075976171,0.75,0.30761924931123436
last12,571,QR1,4,0.09376798382370637,0.27869225410371906,0.2061962401898418,0.75,0.3062155839007975
last12,571,QR2,0,0.09358471096299452,0.2801096839876979,0.20007594225484612,0.75,0.30591618290472067
last12,571,QR2,1,0.08752168403947429,0.26957651563781093,0.1927692088666433,0.75,0.2958406396009079
last12,571,QR2,2,0.08624385531416905,0.2679211120414949,0.1819215914454977,0.75,0.2936730415175507
last12,571,QR2,3,0.08949153123438224,0.2735306914117483,0.19401866850086388,0.75,0.29915135171745794
last12,571,QR2,4,0.08769545418867684,0.2683778296677602,0.19088994984083896,0.75,0.2961341827426831
last12,571,LSTM,0,0.07764750816670503,0.25496177827048,0.1541368751503565,0.6666666666666666,0.27865302468608705
last12,571,LSTM,1,0.09949709180866416,0.28503142845962953,0.21071298806232144,0.6666666666666666,0.3154315960848947
last12,571,LSTM,2,0.10020231250907359,0.288553442540271,0.22676704936520653,0.6666666666666666,0.3165474885527819
last12,571,LSTM,3,0.08132813954424765,0.2589225435433323,0.17553180728141426,0.6666666666666666,0.2851808891637861
last12,571,LSTM,4,0.08591503031590476,0.2534291283911536,0.17438780469510395,0.5833333333333334,0.29311265806154596
last12,571,LSTMX,0,0.09275619535979908,0.2720129821564833,0.20509191771269095,0.75,0.30455901785992
last12,571,LSTMX,1,0.09025773969604096,0.24852860136481478,0.18507514398107253,0.5833333333333334,0.30042925905450846
last12,571,LSTMX,2,0.08380958737765372,0.25779346997271196,0.1812138491885189,0.75,0.28949885557226945
last12,571,LSTMX,3,0.1026000169472272,0.27559054564331537,0.22603260349809515,0.75,0.32031237401515916
last12,571,LSTMX,4,0.08765930421361413,0.2717832532973492,0.18978488232521817,0.75,0.29607313997324064
last12,120,Persistence,0,0.1358592730807314,0.3249785707227574,0.31362176784495416,0.16666666666666666,0.3685909291894354
last12,120,HAR,0,0.09018433793578319,0.2600165634117564,0.18548170724351687,0.6666666666666666,0.30030707273686247
last12,120,HARX,0,0.09379439685077517,0.2745586050001358,0.20770002023168618,0.75,0.30625870902029084
last12,120,AR1,0,0.09193370374899461,0.26159138876868065,0.18791810559632172,0.75,0.30320571193332524
last12,120,AR3,0,0.09177236803213545,0.2697374239184582,0.18717024145986952,0.5833333333333334,0.30293954517714494
last12,120,ARMAX,0,0.08913414757320424,0.25840483479396337,0.20122197051145194,0.75,0.2985534249899074
last12,120,CRL,0,0.09265898633344877,0.2717467135475839,0.18791823772744262,0.5833333333333334,0.3043993862238371
last12,120,CRL,1,0.09178244524806023,0.2699435309830728,0.18706046940213905,0.5833333333333334,0.30295617710827455
last12,120,CRL,2,0.09174389382425875,0.2696631147025346,0.18718507398137949,0.5833333333333334,0.3028925450126806
last12,120,CRL,3,0.09177812258637404,0.26979723951422835,0.18717115571255397,0.5833333333333334,0.3029490428873708
last12,120,CRL,4,0.09174162683773983,0.2696794853846584,0.18716495428156588,0.5833333333333334,0.3028888027605838
last12,120,CRLX,0,0.11408993493690367,0.2774328247376218,0.25827000145576606,0.5833333333333334,0.3377720162134567
last12,120,CRLX,1,0.12053347562622452,0.31512419081598714,0.26154791619799594,0.4166666666666667,0.34717931336158914
last12,120,CRLX,2,0.11901491316494132,0.31268342882867267,0.24805751572837223,0.5,0.34498538108873733
last12,120,CRLX,3,0.11033294588508158,0.29806451598954103,0.21397815540075327,0.5,0.332164034605015
last12,120,CRLX,4,0.11658336740810941,0.2953166586885504,0.2511753898173567,0.5833333333333334,0.341443066129786
last12,120,QR1,0,0.10751414677294796,0.29284130595043,0.24420348177848847,0.6666666666666666,0.32789349913187965
last12,120,QR1,1,0.10028778115241704,0.28033905253828145,0.22216294722078314,0.5833333333333334,0.3166824610748392
last12,120,QR1,2,0.10303265293679309,0.28086105615065193,0.21722084926691365,0.5833333333333334,0.32098699808059683
last12,120,QR1,3,0.1075175452201048,0.2938922619484354,0.24906800540676519,0.6666666666666666,0.32789868133328137
last12,120,QR1,4,0.10021239170847085,0.2792390108969621,0.21965325223953872,0.5833333333333334,0.3165634086695284
last12,120,QR2,0,0.11766837856363048,0.31060315719862974,0.2785671854744023,0.5833333333333334,0.34302824747188165
last12,120,QR2,1,0.10665880766588848,0.27953509341624067,0.25051237917187547,0.6666666666666666,0.3265866005608443
last12,120,QR2,2,0.10088512216212432,0.2740383594662437,0.2219407936836195,0.5833333333333334,0.317624183843303
last12,120,QR2,3,0.11651687015740901,0.30480375237768426,0.28402900639997347,0.75,0.3413456754631718
last12,120,QR2,4,0.1156284350470715,0.286054376843145,0.2727321463234361,0.6666666666666666,0.34004181367454134
last12,120,LSTM,0,0.06888576790423341,0.22882169037940783,0.1355846116652144,0.5833333333333334,0.2624609835846719
last12,120,LSTM,1,0.07234210065681877,0.23303084659563814,0.14411373755430382,0.6666666666666666,0.26896486881527626
last12,120,LSTM,2,0.07095259309176159,0.23182639078585274,0.14222985800434892,0.75,0.26636927955708706
last12,120,LSTM,3,0.06925237046948175,0.22882224954298078,0.14018147086386598,0.75,0.26315845125984794
last12,120,LSTM,4,0.0647795946660932,0.22394075155198057,0.13014131897600378,0.75,0.2545183582103523
last12,120,LSTMX,0,0.07072038476966387,0.22768593234475965,0.14380526299294497,0.75,0.2659330456518405
last12,120,LSTMX,1,0.0702902228985781,0.2220638095254157,0.14484296514113038,0.75,0.2651230335119491
last12,120,LSTMX,2,0.06572151141026134,0.21750925282805242,0.13105654950118406,0.8333333333333334,0.25636207092754837
last12,120,LSTMX,3,0.06484619380326995,0.21832754362930296,0.1324965602179371,0.75,0.2546491582614597
last12,120,LSTMX,4,0.06691091824248188,0.2217157879650348,0.13603580770640833,0.75,0.2586714484485713
