period,window,model,seed,mse_log_rv,mae_log_rv,qlike_variance,directional_accuracy,rmse_log_rv
post2017,120,QR2,4,0.2377944008299047,0.3837137695616662,0.8341080740754746,0.6538461538461539,0.4876416725731146
post2017,120,LSTM,0,0.24188965508493934,0.36504098236755966,1.2095786348217783,0.6442307692307693,0.49182278829364884
post2017,120,LSTM,1,0.24116094027698687,0.3671340325647925,1.2151928068124116,0.6634615384615384,0.4910813988301602
post2017,120,LSTM,2,0.24138997709070065,0.36695976103803957,1.2201790617914385,0.6634615384615384,0.49131453987308443
post2017,120,LSTM,3,0.23773972023144221,0.365540672441444,1.1898448828944994,0.6634615384615384,0.48758560297802295
post2017,120,LSTM,4,0.24610932931314086,0.37026640674950245,1.2302612664705774,0.6634615384615384,0.4960940730477848
post2017,120,LSTMX,0,0.23691801130719178,0.37323610183574324,1.105936813913731,0.6538461538461539,0.48674224319160114
post2017,120,LSTMX,1,0.23077239185401113,0.36937027709378134,1.09627308275619,0.6538461538461539,0.48038775156534863
post2017,120,LSTMX,2,0.2362823198414046,0.3701408875544584,1.1050817261198171,0.6346153846153846,0.48608879830891455
post2017,120,LSTMX,3,0.23760346496731552,0.37292754526951666,1.1304657686196817,0.6442307692307693,0.4874458584984752
post2017,120,LSTMX,4,0.23102761787339657,0.3630456980186997,1.0749776823082153,0.6153846153846154,0.48065332400119376
last12,571,Persistence,0,0.13586251906508842,0.3249825738097067,0.31363015247608006,0.08333333333333333,0.36859533239731673
last12,571,HAR,0,0.0855128827203826,0.25713380952714,0.17724307639129644,0.6666666666666666,0.29242585850157404
last12,571,HARX,0,0.06385060292751236,0.21225673013769497,0.12901324728436622,1.0,0.25268676840608884
last12,571,AR1,0,0.09765998629947943,0.27024512880410173,0.19561964203606327,0.75,0.3125059780219883
last12,571,AR3,0,0.08767047438288356,0.26927498638627606,0.18430250455699995,0.6666666666666666,0.29609200324035023
last12,571,ARMAX,0,0.07241097179017568,0.23406917995160778,0.16486197945531042,0.75,0.26909286833763485
last12,571,CRL,0,0.08661453414294955,0.26713848048393596,0.18278372420378022,0.6666666666666666,0.29430347286933184
last12,571,CRL,1,0.08745391055249986,0.2690244053156832,0.1840045581732159,0.6666666666666666,0.29572607350806907
last12,571,CRL,2,0.08755099957692986,0.2690607237946461,0.18410171568747327,0.6666666666666666,0.2958901816163048
last12,571,CRL,3,0.087405487151365,0.268791201945116,0.18395876611309755,0.6666666666666666,0.29564419011941534
last12,571,CRL,4,0.08762991011980016,0.2692023075899562,0.18425381732012355,0.6666666666666666,0.2960234958914582
last12,571,CRLX,0,0.07342973414856044,0.2432983327396765,0.15661613346560455,0.9166666666666666,0.2709792134990439
last12,571,CRLX,1,0.09210703637380606,0.273073963012082,0.20346210892950992,0.75,0.3034914107084516
last12,571,CRLX,2,0.08997195244517343,0.2744380588250871,0.19270031063656776,0.75,0.29995325043275234
last12,571,CRLX,3,0.05719707827237927,0.19686759976587578,0.11863842847458562,0.9166666666666666,0.23915910660558018
last12,571,CRLX,4,0.07935151665730918,0.26357900177847216,0.16267303667819963,0.8333333333333334,0.2816940124626528
last12,571,QR1,0,0.08193346177649709,0.25106478804905097,0.1479771182495018,0.8333333333333334,0.2862402169096738
last12,571,QR1,1,0.08143871165411976,0.24790597182918317,0.1422210084039959,0.8333333333333334,0.28537468642842123
last12,571,QR1,2,0.07592880930000391,0.24276205058714337,0.14625160689167116,0.9166666666666666,0.2755518268856222
last12,571,QR1,3,0.08664737197084832,0.2574798978962164,0.15451612274679333,0.8333333333333334,0.2943592566420297
last12,571,QR1,4,0.08782477506477904,0.25984513002441767,0.15418657722588472,0.75,0.296352450748731
last12,571,QR2,0,0.08321101444547535,0.26349436957106614,0.15129425498428076,0.6666666666666666,0.2884631942648409
last12,571,QR2,1,0.06283351049340545,0.22542527356058262,0.12147270617455512,0.9166666666666666,0.2506661335190804
last12,571,QR2,2,0.07350066482382948,0.2506674190107267,0.14067018940831463,0.75,0.2711100603515655
last12,571,QR2,3,0.07263878755205622,0.24021330295791976,0.13209045054714538,0.9166666666666666,0.2695158391487525
last12,571,QR2,4,0.07139085264504742,0.23990076464632126,0.13353827038069285,0.6666666666666666,0.2671906672117262
last12,571,LSTM,0,0.07764934931093119,0.25496564540136796,0.15413746909942092,0.6666666666666666,0.27865632831667614
last12,571,LSTM,1,0.0995000331765609,0.2850366934994491,0.21071638412401147,0.6666666666666666,0.31543625850013013
last12,571,LSTM,2,0.10020489326418162,0.2885587425278137,0.22677016301276942,0.6666666666666666,0.3165515649371862
last12,571,LSTM,3,0.08133066329014259,0.25892705720710135,0.1755349434710851,0.6666666666666666,0.2851853139454109
last12,571,LSTM,4,0.08591780196529004,0.2534341662707722,0.17439081817459848,0.5833333333333334,0.29311738598262993
last12,571,LSTMX,0,0.06514918486358454,0.21377632861158583,0.13813006041607648,0.8333333333333334,0.25524338358434395
last12,571,LSTMX,1,0.06497969851852171,0.22514041958900177,0.1392434951158093,0.8333333333333334,0.2549111580894836
last12,571,LSTMX,2,0.059160758044316704,0.21773228857248392,0.12686457542978954,0.8333333333333334,0.24322984612155785
last12,571,LSTMX,3,0.07895836133189034,0.2620842694780416,0.1576776565533338,0.9166666666666666,0.2809953048217894
last12,571,LSTMX,4,0.06695045067214687,0.22550460981354511,0.1408860921377834,0.8333333333333334,0.2587478515314608
last12,120,Persistence,0,0.13586251906508842,0.3249825738097067,0.31363015247608006,0.08333333333333333,0.36859533239731673
last12,120,HAR,0,0.09018622975778268,0.2600197731568033,0.18548459910011286,0.6666666666666666,0.3003102225329379
last12,120,HARX,0,0.06383989639287907,0.2006500652077294,0.14230564126721199,1.0,0.25266558212957907
last12,120,AR1,0,0.09193532596358546,0.2615939983346164,0.1879199442551215,0.75,0.30320838702711617
last12,120,AR3,0,0.09177429742870713,0.2697402692029207,0.18717254063849206,0.5833333333333334,0.3029427296184992
last12,120,ARMAX,0,0.06688207290281603,0.19371355166486068,0.12434383793994915,0.9166666666666666,0.2586156857246212
last12,120,CRL,0,0.0926605500889247,0.2717485583983824,0.18792072777993452,0.5833333333333334,0.3044019548047034
last12,120,CRL,1,0.0917843468241344,0.2699462906288162,0.1870628188415726,0.5833333333333334,0.30295931546023536
last12,120,CRL,2,0.0917458136497659,0.269665944777604,0.18718736111008108,0.5833333333333334,0.3028957141488897
last12,120,CRL,3,0.0917800167931721,0.2697999924992673,0.18717347437232323,0.5833333333333334,0.3029521691507953
last12,120,CRL,4,0.09174354994256533,0.26968231865654396,0.1871672502761975,0.5833333333333334,0.3028919773492942
last12,120,CRLX,0,0.09363953043438945,0.25622254565735453,0.22559544619253355,0.75,0.3060057686292686
last12,120,CRLX,1,0.11043140756554616,0.28470947488532744,0.2329131574107242,0.6666666666666666,0.3323122139879095
last12,120,CRLX,2,0.12587891132816337,0.31179704613459897,0.2787187449440492,0.5,0.35479418164361626
last12,120,CRLX,3,0.08335631790431293,0.2547332690313115,0.20429718097615499,0.8333333333333334,0.28871494229484024
last12,120,CRLX,4,0.09950865349902106,0.2924606736059091,0.20336126734673574,0.75,0.3154499223316136
last12,120,QR1,0,0.10040031181533939,0.25596033839603777,0.1954941183111991,0.75,0.3168600823949577
last12,120,QR1,1,0.11759365611685028,0.29169696794631966,0.20836942324646093,0.6666666666666666,0.3429193142954335
last12,120,QR1,2,0.09415263148967833,0.2623288161031252,0.19447958097576146,0.75,0.30684300788787466
last12,120,QR1,3,0.10745888736170311,0.29274420546737673,0.20897873076672036,0.5833333333333334,0.3278092240338931
last12,120,QR1,4,0.10266447430603075,0.27797129675374316,0.19780020543020008,0.6666666666666666,0.3204129746218632
last12,120,QR2,0,0.10949286769905775,0.2914351442215314,0.21318853911719138,0.5833333333333334,0.3308970651109764
