run_id,configuration,model,seed,window,target_month,forecast_origin,training_start,training_end,actual_log_rv,previous_log_rv,predicted_log_rv,status,warnings,seconds,error,mse_log_rv,mae_log_rv,mse_rv,mae_rv,qlike_variance,directional_accuracy
6896fea73c283c52ec3df2db2143d92e1dad9531a594c684d1d0adfc23fe05fa,colin,LSTMX,4,120,2026-03-31,2026-02-28,2016-03-31,2026-02-28,-2.9305511753093016,-3.319307735691405,-3.306503494227151,ok,[],0.21114366699475795,,0.14134014609970827,0.3759523189178493,0.00027967675280090047,0.016723538883887598,0.36913133940836595,1.0
6896fea73c283c52ec3df2db2143d92e1dad9531a594c684d1d0adfc23fe05fa,colin,LSTMX,4,120,2026-04-30,2026-03-31,2016-04-30,2026-03-31,-3.237312027686596,-2.9305511753093016,-3.202965202410052,ok,[],0.21208483399823308,,0.001179704406577425,0.03434682527654376,1.882951063613605e-06,0.0013722066402745633,0.0023062985443395856,1.0
6896fea73c283c52ec3df2db2143d92e1dad9531a594c684d1d0adfc23fe05fa,colin,LSTMX,4,120,2026-05-31,2026-04-30,2016-05-31,2026-04-30,-3.5119546359486353,-3.237312027686596,-3.234005910038906,ok,[],0.208707416895777,,0.07725549423484195,0.2779487259097295,9.140924180808737e-05,0.009560818051196632,0.12945474193601364,0.0
6896fea73c283c52ec3df2db2143d92e1dad9531a594c684d1d0adfc23fe05fa,colin,LSTMX,4,120,2026-06-30,2026-05-31,2016-06-30,2026-05-31,-3.0168147582707263,-3.5119546359486353,-3.3702672229892308,ok,[],0.21186604106333107,,0.12492864481558563,0.35345246471850444,0.00021247321515501026,0.014576460995557539,0.3208007149672616,1.0
6896fea73c283c52ec3df2db2143d92e1dad9531a594c684d1d0adfc23fe05fa,colin,LSTMX,4,120,2026-07-31,2026-06-30,2016-07-31,2026-06-30,-3.371829178429884,-3.0168147582707263,-3.394184885654413,ok,[],0.2108282089466229,,0.0004997776455088511,0.022355707224528842,5.759069793032232e-07,0.0007588853532011428,0.0010146204866642583,1.0
6896fea73c283c52ec3df2db2143d92e1dad9531a594c684d1d0adfc23fe05fa,colin,LSTMX,4,120,2026-08-31,2026-07-31,2016-08-31,2026-07-31,-3.507788998946598,-3.371829178429884,-3.3268789255537605,ok,[],0.2113291659625247,,0.03272845465500185,0.1809100733928375,3.530620948964873e-05,0.005941902850909692,0.058227754511440355,0.0
6896fea73c283c52ec3df2db2143d92e1dad9531a594c684d1d0adfc23fe05fa,colin,LSTMX,0,571,2025-09-30,2025-08-31,1978-02-28,2025-08-31,-3.844352655797379,-3.3885720022366694,-3.5136287250921874,ok,[],1.500272999983281,,0.10937831834109228,0.33072393070519146,7.036480066816639e-05,0.008388372945224026,0.17755140827702187,1.0
6896fea73c283c52ec3df2db2143d92e1dad9531a594c684d1d0adfc23fe05fa,colin,LSTMX,0,571,2025-10-31,2025-09-30,1978-03-31,2025-09-30,-3.200601249147139,-3.844352655797379,-3.5059139452775447,ok,[],1.487726082908921,,0.09321584241841736,0.30531269613040557,0.00011488363384429415,0.010718378321569647,0.2309573580598232,1.0
6896fea73c283c52ec3df2db2143d92e1dad9531a594c684d1d0adfc23fe05fa,colin,LSTMX,0,571,2025-11-30,2025-10-31,1978-04-30,2025-10-31,-3.1877347547552812,-3.200601249147139,-3.2351986059397997,ok,[],1.4924642090918496,,0.002252817169266114,0.04746385118451846,3.659004653310527e-06,0.0019128524912576314,0.004651652900833095,0.0
6896fea73c283c52ec3df2db2143d92e1dad9531a594c684d1d0adfc23fe05fa,colin,LSTMX,0,571,2025-12-31,2025-11-30,1978-05-31,2025-11-30,-3.669080341092571,-3.1877347547552812,-3.24376429292143,ok,[],1.5361455000238493,,0.18089374083191662,0.4253160481711413,0.0001827048950867298,0.013516837466165294,0.2777769462438171,1.0
6896fea73c283c52ec3df2db2143d92e1dad9531a594c684d1d0adfc23fe05fa,colin,LSTMX,0,571,2026-01-31,2025-12-31,1978-06-30,2025-12-31,-3.5432987087435324,-3.669080341092571,-3.3661626128872624,ok,[],1.4800701249623671,,0.03137719645520167,0.17713609585627,3.140570115579926e-05,0.005604078974800343,0.055956140516593256,1.0
6896fea73c283c52ec3df2db2143d92e1dad9531a594c684d1d0adfc23fe05fa,colin,LSTMX,0,571,2026-02-28,2026-01-31,1978-07-31,2026-01-31,-3.319307735691405,-3.5432987087435324,-3.444080588959844,ok,[],1.4876333749853075,,0.015568264912747438,0.12477285326843912,1.800948715583439e-05,0.004243758611871602,0.03389651827773771,1.0
6896fea73c283c52ec3df2db2143d92e1dad9531a594c684d1d0adfc23fe05fa,colin,LSTMX,0,571,2026-03-31,2026-02-28,1978-08-31,2026-02-28,-2.9305511753093016,-3.319307735691405,-3.381848618910147,ok,[],1.483853540965356,,0.2036693826006581,0.4512974436008452,0.0003757023566646824,0.019383043018697615,0.5633989045513448,0.0
6896fea73c283c52ec3df2db2143d92e1dad9531a594c684d1d0adfc23fe05fa,colin,LSTMX,0,571,2026-04-30,2026-03-31,1978-09-30,2026-03-31,-3.237312027686596,-2.9305511753093016,-3.221752679085208,ok,[],1.4829394590342417,,0.00024209332889951025,0.015559348601387857,3.791887321077071e-07,0.0006157830235624454,0.00047920306933120146,1.0
6896fea73c283c52ec3df2db2143d92e1dad9531a594c684d1d0adfc23fe05fa,colin,LSTMX,0,571,2026-05-31,2026-04-30,1978-10-31,2026-04-30,-3.5119546359486353,-3.237312027686596,-3.368686397673331,ok,[],1.4891296669375151,,0.020525788098509377,0.14326823827530433,2.112604177515358e-05,0.00459630740651162,0.03739616581071356,1.0
6896fea73c283c52ec3df2db2143d92e1dad9531a594c684d1d0adfc23fe05fa,colin,LSTMX,0,571,2026-06-30,2026-05-31,1978-11-30,2026-05-31,-3.0168147582707263,-3.5119546359486353,-3.3022302963079677,ok,[],1.4736017920076847,,0.081462029353088,0.2854155380372414,0.0001477661768970168,0.012155911191556838,0.19890615062812156,1.0
6896fea73c283c52ec3df2db2143d92e1dad9531a594c684d1d0adfc23fe05fa,colin,LSTMX,0,571,2026-07-31,2026-06-30,1978-12-31,2026-06-30,-3.371829178429884,-3.0168147582707263,-3.1728372594184333,ok,[],1.4783129580318928,,0.039597783831859815,0.19899191901145086,5.71203657451043e-05,0.007557801647642276,0.06965672115894306,1.0
6896fea73c283c52ec3df2db2143d92e1dad9531a594c684d1d0adfc23fe05fa,colin,LSTMX,0,571,2026-08-31,2026-07-31,1979-01-31,2026-07-31,-3.507788998946598,-3.371829178429884,-3.4477310184497636,ok,[],1.4850863750325516,,0.0036069610213581432,0.06005798049683442,3.4397590595762623e-06,0.0018546587447765862,0.006933555498637237,1.0
6896fea73c283c52ec3df2db2143d92e1dad9531a594c684d1d0adfc23fe05fa,colin,LSTMX,1,571,2025-09-30,2025-08-31,1978-02-28,2025-08-31,-3.844352655797379,-3.3885720022366694,-3.542180875240062,ok,[],1.4598144999472424,,0.09130778496517933,0.30217178055731697,5.700055477441317e-05,0.007549871176014408,0.15077656992305677,1.0
6896fea73c283c52ec3df2db2143d92e1dad9531a594c684d1d0adfc23fe05fa,colin,LSTMX,1,571,2025-10-31,2025-09-30,1978-03-31,2025-09-30,-3.200601249147139,-3.844352655797379,-3.6006493948626774,ok,[],1.4491541670868173,,0.16003851889044055,0.40004814571553826,0.00018041106943439617,0.013431718781838613,0.4256589479002981,1.0
6896fea73c283c52ec3df2db2143d92e1dad9531a594c684d1d0adfc23fe05fa,colin,LSTMX,1,571,2025-11-30,2025-10-31,1978-04-30,2025-10-31,-3.1877347547552812,-3.200601249147139,-3.341875482891318,ok,[],1.4549907919717953,,0.023759364070307588,0.15414072813603674,3.474728105363288e-05,0.005894682438743658,0.052802564393642226,0.0
6896fea73c283c52ec3df2db2143d92e1dad9531a594c684d1d0adfc23fe05fa,colin,LSTMX,1,571,2025-12-31,2025-11-30,1978-05-31,2025-11-30,-3.669080341092571,-3.1877347547552812,-3.26470902266065,ok,[],1.4617995419539511,,0.16351616317037013,0.4043713184319211,0.00016149684150619346,0.01270814075725452,0.25416040301936704,1.0
6896fea73c283c52ec3df2db2143d92e1dad9531a594c684d1d0adfc23fe05fa,colin,LSTMX,1,571,2026-01-31,2025-12-31,1978-06-30,2025-12-31,-3.5432987087435324,-3.669080341092571,-3.364500009898833,ok,[],1.4503713749581948,,0.03196897470855753,0.17879869884469946,3.205284106867556e-05,0.005661522857736738,0.056951977794700404,1.0
6896fea73c283c52ec3df2db2143d92e1dad9531a594c684d1d0adfc23fe05fa,colin,LSTMX,1,571,2026-02-28,2026-01-31,1978-07-31,2026-01-31,-3.319307735691405,-3.5432987087435324,-3.4322297460922604,ok,[],1.457363999914378,,0.012751380432970912,0.11292201040085548,1.4923241566366634e-05,0.0038630611652375677,0.027536127997859428,1.0
6896fea73c283c52ec3df2db2143d92e1dad9531a594c684d1d0adfc23fe05fa,colin,LSTMX,1,571,2026-03-31,2026-02-28,1978-08-31,2026-02-28,-2.9305511753093016,-3.319307735691405,-3.3010334066802773,ok,[],1.4519101670011878,,0.13725708376161716,0.3704822313709757,0.0002729944386985417,0.01652254334836322,0.3569934785865707,1.0
6896fea73c283c52ec3df2db2143d92e1dad9531a594c684d1d0adfc23fe05fa,colin,LSTMX,1,571,2026-04-30,2026-03-31,1978-09-30,2026-03-31,-3.237312027686596,-2.9305511753093016,-3.1078013636326682,ok,[],1.4490625000325963,,0.016773012103689304,0.12951066405392764,2.9482905348849912e-05,0.005429816327358589,0.03082788980242343,1.0
6896fea73c283c52ec3df2db2143d92e1dad9531a594c684d1d0adfc23fe05fa,colin,LSTMX,1,571,2026-05-31,2026-04-30,1978-10-31,2026-04-30,-3.5119546359486353,-3.237312027686596,-3.485352941540195,ok,[],1.5107740419916809,,0.0007076501454000493,0.0266016944084404,6.470713060068409e-07,0.0008044074253802241,0.0013905310249801225,1.0
